Date,Region,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
2020-12-27,LIE,,,,
2020-12-27,LTU,2417,2417,,
2020-12-27,LVA,38,38,,
2020-12-27,MEX,6824,6824,,
2020-12-27,NOR,139,139,,
2020-12-27,QAT,,,,
2020-12-27,ROU,965,965,,
2020-12-27,RUS,,,,
2020-12-27,SVN,6199,6199,,
2020-12-27,USA,3114027,3034790,26034,
2020-12-28,BEL,335,335,,
2020-12-28,BHR,55014,55014,,
2020-12-28,BLR,0,0,,
2020-12-28,CAN,59079,59078,1,
2020-12-28,CHE,2759,2703,,
2020-12-28,CHL,,,,
2020-12-28,CHN,,,,
2020-12-28,CRI,,,,
2020-12-28,CYM,,,,
2020-12-28,CZE,3588,3588,,
2020-12-28,DEU,42500,42500,,
2020-12-28,DNK,,,,
2020-12-28,EST,509,509,15,
2020-12-28,FRA,1327,1326,1,
2020-12-28,GRC,447,447,,
2020-12-28,HUN,1094,,,
2020-12-28,ISR,524175,524171,4,
2020-12-28,ITA,8696,8696,,
2020-12-28,KWT,2500,,,
2020-12-28,LIE,,,,
2020-12-28,LTU,5214,5214,,
2020-12-28,LUX,452,452,,
2020-12-28,LVA,648,647,1,
2020-12-28,MEX,9579,9579,,
2020-12-28,NOR,766,766,,
2020-12-28,OMN,1717,1717,,
2020-12-28,POL,2000,2000,,
2020-12-28,QAT,,,,
2020-12-28,ROU,2066,2066,,
2020-12-28,RUS,,,,
2020-12-28,SVN,7885,7885,,
2020-12-28,USA,3711556,3617005,30521,
2020-12-29,ARG,20495,20492,2,1
2020-12-29,BEL,362,361,1,
2020-12-29,BGR,1719,1719,,
2020-12-29,BHR,56041,56041,,
2020-12-29,BLR,,,,
2020-12-29,CAN,72092,72090,2,
2020-12-29,CHE,4455,4367,,
2020-12-29,CHL,,,,
2020-12-29,CHN,,,,
2020-12-29,CRI,,,,
2020-12-29,CYM,,,,
2020-12-29,CZE,7053,7052,1,
2020-12-29,DEU,92729,92729,,
2020-12-29,DNK,,,,
2020-12-29,EST,876,876,29,
2020-12-29,FRA,1717,1716,1,
2020-12-29,GRC,1077,1077,,
2020-12-29,HUN,,,,
2020-12-29,ISR,680522,680516,6,
2020-12-29,ITA,9795,9795,,
2020-12-29,KWT,,,,
2020-12-29,LIE,,,,
2020-12-29,LTU,8194,8194,,
2020-12-29,LUX,800,800,,
2020-12-29,LVA,1527,1526,1,
2020-12-29,MEX,18529,18529,,
2020-12-29,NOR,1858,1858,,
2020-12-29,OMN,3363,3363,,
2020-12-29,POL,6300,6300,,
2020-12-29,QAT,,,,
2020-12-29,ROU,2778,2778,,
2020-12-29,RUS,,,,
2020-12-29,SVN,9211,9211,,
2020-12-29,USA,4440692,4326189,36033,
2020-12-30,ARG,40597,40589,7,1
2020-12-30,BEL,880,879,,
2020-12-30,BGR,4608,4608,,
2020-12-30,BHR,57317,57317,,
2020-12-30,BLR,,,,
2020-12-30,CAN,80641,80639,2,
2020-12-30,CHE,6129,6028,,
2020-12-30,CHL,,,,
2020-12-30,CHN,,,,
2020-12-30,CRI,,,,
2020-12-30,CYM,,,,
2020-12-30,CZE,10567,10566,1,
2020-12-30,DEU,156942,156942,,
2020-12-30,DNK,,,,
2020-12-30,EST,1889,1889,52,
2020-12-30,FRA,2173,2172,1,
2020-12-30,GRC,1722,1722,,
2020-12-30,HRV,7864,7864,,
2020-12-30,HUN,,,,
2020-12-30,ISL,4875,4875,,
2020-12-30,ISR,833717,833711,6,
2020-12-30,ITA,14689,14689,,
2020-12-30,KWT,,,,
2020-12-30,LIE,,,,
2020-12-30,LTU,9725,9725,,
2020-12-30,LUX,1251,1251,,
2020-12-30,LVA,2329,2327,2,
2020-12-30,MCO,0,,,
2020-12-30,MEX,24998,24998,,
2020-12-30,NOR,2331,2331,,
2020-12-30,OMN,5043,5043,,
2020-12-30,POL,36300,36300,,
2020-12-30,QAT,,,,
2020-12-30,ROU,5666,5666,,
2020-12-30,RUS,,,,
2020-12-30,SGP,567,539,37,
2020-12-30,SVN,9633,9633,,
2020-12-30,USA,5289609,5154420,43704,
2020-12-31,ARG,43403,43395,7,1
2020-12-31,BEL,926,925,,
2020-12-31,BGR,,,,
2020-12-31,BHR,58643,58643,,
2020-12-31,BLR,,,,
2020-12-31,CAN,96170,96168,2,
2020-12-31,CHE,6382,6280,,
2020-12-31,CHL,,,,
2020-12-31,CHN,4500000,,,
2020-12-31,CRI,,,,
2020-12-31,CYM,,,,
2020-12-31,CZE,11879,11878,1,
2020-12-31,DEU,206927,206927,,
2020-12-31,DNK,,,,
2020-12-31,EST,2475,2475,76,
2020-12-31,FRA,2625,2623,2,
2020-12-31,GRC,2339,2339,,
2020-12-31,HRV,,,,
2020-12-31,HUN,,,,
2020-12-31,ISL,,,,
2020-12-31,ISR,992320,992314,6,
2020-12-31,ITA,40667,40667,,
2020-12-31,KWT,,,,
2020-12-31,LIE,,,,
2020-12-31,LTU,9755,9755,,
2020-12-31,LUX,,,,
2020-12-31,LVA,2336,2334,2,
2020-12-31,MCO,,,,
2020-12-31,MEX,,,,
2020-12-31,NOR,2422,2422,,
2020-12-31,OMN,6516,6516,,
2020-12-31,POL,47600,47600,,
2020-12-31,QAT,,,,
2020-12-31,ROU,10289,10289,,
2020-12-31,RUS,,,,
2020-12-31,SGP,619,582,46,
2020-12-31,SVN,11490,11490,,
2020-12-31,USA,5716312,5570284,47241,
2021-01-01,ARG,43532,43524,7,1
2021-01-01,BEL,943,942,,
2021-01-01,BGR,4739,4739,,
2021-01-01,BHR,59351,59351,,
2021-01-01,BLR,,,,
2021-01-01,CAN,105461,105458,3,
2021-01-01,CHE,6393,6289,,1
2021-01-01,CHL,,,,
2021-01-01,CHN,,,,
2021-01-01,CRI,,,,
2021-01-01,CYM,,,,
2021-01-01,CZE,12151,12150,1,
2021-01-01,DEU,232650,232650,,
2021-01-01,DNK,5067,5067,,
2021-01-01,EST,,,,
2021-01-01,FRA,3826,3822,4,
2021-01-01,GRC,2603,2603,,
2021-01-01,HRV,,,,
2021-01-01,HUN,,,,
2021-01-01,ISL,,,,
2021-01-01,ISR,1063757,1063751,6,
2021-01-01,ITA,51939,51939,,
2021-01-01,KWT,,,,
2021-01-01,LIE,,,,
2021-01-01,LTU,,,,
2021-01-01,LUX,,,,
2021-01-01,LVA,2343,2340,3,
2021-01-01,MCO,,,,
2021-01-01,MEX,,,,
2021-01-01,NOR,2449,2449,,
2021-01-01,OMN,,,,
2021-01-01,POL,,,,
2021-01-01,PRT,5199,5186,6,5
2021-01-01,QAT,,,,
2021-01-01,ROU,11656,11656,,
2021-01-01,RUS,,,,
2021-01-01,SGP,649,611,48,
2021-01-01,SVN,11641,11641,,
2021-01-01,USA,5854174,5694637,56597,
2021-01-02,ARG,46844,46833,10,1
2021-01-02,BEL,953,952,,
2021-01-02,BGR,,,,
2021-01-02,BHR,60097,60097,,
2021-01-02,BLR,,,,
2021-01-02,CAN,110118,110115,3,
2021-01-02,CHE,6397,6293,,1
2021-01-02,CHL,,,,
2021-01-02,CHN,,,,
2021-01-02,CRI,,,,
2021-01-02,CYM,,,,
2021-01-02,CZE,13442,13441,1,
2021-01-02,DEU,280485,280485,,
2021-01-02,DNK,,,,
2021-01-02,EST,2505,2505,77,
2021-01-02,FRA,4200,4192,8,
2021-01-02,GRC,3149,3149,,
2021-01-02,HRV,,,,
2021-01-02,HUN,,,,
2021-01-02,ISL,,,,
2021-01-02,ISR,1135502,1135496,6,
2021-01-02,ITA,91012,91012,,
2021-01-02,KWT,,,,
2021-01-02,LIE,,,,
2021-01-02,LTU,,,,
2021-01-02,LUX,,,,
2021-01-02,LVA,2345,2342,3,
2021-01-02,MCO,,,,
2021-01-02,MEX,,,,
2021-01-02,NOR,2467,2467,,
2021-01-02,OMN,7231,7231,,
2021-01-02,POL,50391,50391,,
2021-01-02,PRT,,,,
2021-01-02,QAT,,,,
2021-01-02,ROU,13242,13242,,
2021-01-02,RUS,800000,800000,,
2021-01-02,SGP,684,644,50,
2021-01-02,SVN,12045,12045,,
2021-01-02,USA,6123124,5954167,59709,
2021-01-03,ARG,47290,47274,11,5
2021-01-03,BEL,985,984,,
2021-01-03,BGR,,,,
2021-01-03,BHR,60689,60689,,
2021-01-03,BLR,,,,
2021-01-03,CAN,115339,115336,3,
2021-01-03,CHE,6402,6296,,3
2021-01-03,CHL,,,,
2021-01-03,CHN,,,,
2021-01-03,CRI,2455,2455,,
2021-01-03,CYM,,,,
2021-01-03,CZE,14370,14369,1,
2021-01-03,DEU,303099,303099,,
2021-01-03,DNK,,,,
2021-01-03,EST,2523,2523,77,
2021-01-03,FIN,67,67,,
2021-01-03,FRA,4619,4611,8,
2021-01-03,GRC,3869,3869,,
2021-01-03,HRV,12285,12285,,
2021-01-03,HUN,,,,
2021-01-03,ISL,,,,
2021-01-03,ISR,1285272,1285266,6,
2021-01-03,ITA,126889,126889,,
2021-01-03,KWT,,,,
2021-01-03,LIE,,,,
2021-01-03,LTU,,,,
2021-01-03,LUX,,,,
2021-01-03,LVA,2351,2346,3,2
2021-01-03,MCO,,,,
2021-01-03,MEX,,,,
2021-01-03,NOR,2509,2509,,
2021-01-03,OMN,8826,8826,,
2021-01-03,POL,50833,50833,,
2021-01-03,PRT,,,,
2021-01-03,QAT,,,,
2021-01-03,ROU,13596,13596,,
2021-01-03,RUS,,,,
2021-01-03,SGP,721,678,53,
2021-01-03,SVK,30160,30159,,1
2021-01-03,SVN,12601,12601,1,
2021-01-03,SWE,2478,1413,,
2021-01-03,USA,6264523,6087979,62303,
2021-01-04,ARG,57753,57731,15,7
2021-01-04,BEL,1027,1026,,
2021-01-04,BGR,,,,
2021-01-04,BHR,61612,61612,,
2021-01-04,BLR,,,,
2021-01-04,CAN,138966,138963,3,
2021-01-04,CHE,10083,9930,,4
2021-01-04,CHL,9053,9053,,
2021-01-04,CHN,,,,
2021-01-04,CRI,,,,
2021-01-04,CYM,,,,
2021-01-04,CZE,17977,17976,1,
2021-01-04,DEU,349461,349461,,
2021-01-04,DNK,,,,
2021-01-04,ESP,82834,82834,,
2021-01-04,EST,3165,3165,126,
2021-01-04,FIN,,,,
2021-01-04,FRA,6776,6763,13,
2021-01-04,GRC,10327,10327,,
2021-01-04,HRV,,,,
2021-01-04,HUN,,,,
2021-01-04,ISL,,,,
2021-01-04,ISR,1437486,1437479,7,
2021-01-04,ITA,196562,196562,9,
2021-01-04,KWT,,,,
2021-01-04,LIE,2,2,,
2021-01-04,LTU,9756,9756,,
2021-01-04,LUX,,,,
2021-01-04,LVA,3060,3054,4,3
2021-01-04,MCO,,,,
2021-01-04,MEX,43960,43960,,
2021-01-04,NOR,2547,2547,,
2021-01-04,OMN,10728,10728,,
2021-01-04,POL,92220,92220,,
2021-01-04,PRT,,,,
2021-01-04,QAT,,,,
2021-01-04,ROU,25508,25508,,
2021-01-04,RUS,,,,
2021-01-04,SGP,812,755,69,
2021-01-04,SVK,,,,
2021-01-04,SVN,13692,13692,1,
2021-01-04,SWE,,,,
2021-01-04,USA,6930229,6693548,107970,
2021-01-05,ARE,826301,,,
2021-01-05,ARG,68484,68459,18,7
2021-01-05,BEL,2785,2783,2,
2021-01-05,BGR,5448,5448,,
2021-01-05,BHR,63893,63893,,
2021-01-05,BLR,,,,
2021-01-05,CAN,156845,156839,6,
2021-01-05,CHE,17224,17028,,5
2021-01-05,CHL,10497,10497,,
2021-01-05,CHN,,,,
2021-01-05,CRI,,,,
2021-01-05,CYM,,,,
2021-01-05,CZE,22494,22492,2,
2021-01-05,DEU,401983,401983,,
2021-01-05,DNK,,,,
2021-01-05,ESP,139339,139339,,
2021-01-05,EST,4977,4975,189,
2021-01-05,FIN,,,,
2021-01-05,FRA,14576,14557,19,
2021-01-05,GRC,16631,16631,,
2021-01-05,HRV,13798,13798,,
2021-01-05,HUN,,,,
2021-01-05,ISL,,,,
2021-01-05,ISR,1562712,1562701,11,
2021-01-05,ITA,276867,276867,11,
2021-01-05,KWT,,,,
2021-01-05,LIE,,,,
2021-01-05,LTU,10378,10378,,
2021-01-05,LUX,,,,
2021-01-05,LVA,3957,3951,4,3
2021-01-05,MCO,,,,
2021-01-05,MEX,48236,48236,,
2021-01-05,NOR,5993,5993,,
2021-01-05,OMN,12751,12751,,
2021-01-05,POL,140226,140226,,
2021-01-05,PRT,,,,
2021-01-05,QAT,,,,
2021-01-05,ROU,41609,41609,,
2021-01-05,RUS,,,,
2021-01-05,SGP,905,835,81,
2021-01-05,SVK,,,,
2021-01-05,SVN,16238,16238,1,
2021-01-05,SWE,,,,
2021-01-05,USA,7771008,7431907,196522,
2021-01-06,ARE,,,,
2021-01-06,ARG,78604,78575,18,11
2021-01-06,BEL,6778,6776,,
2021-01-06,BGR,7913,7913,,
2021-01-06,BHR,68472,68472,,
2021-01-06,BLR,,,,
2021-01-06,CAN,184957,184509,448,
2021-01-06,CHE,23072,22692,,9
2021-01-06,CHL,10703,10703,,
2021-01-06,CHN,,,,
2021-01-06,CRI,,,,
2021-01-06,CYM,,,,
2021-01-06,CYP,3901,3901,,
2021-01-06,CZE,28334,28331,3,
2021-01-06,DEU,465111,465111,,
2021-01-06,DNK,,,,
2021-01-06,ESP,,,,
2021-01-06,EST,6589,6586,223,1
2021-01-06,FIN,,,,
2021-01-06,FRA,27090,27048,42,
2021-01-06,GRC,20616,20616,,
2021-01-06,HRV,,,,
2021-01-06,HUN,,,,
2021-01-06,ISL,,,,
2021-01-06,ISR,1666089,1666076,13,
2021-01-06,ITA,342087,342087,13,
2021-01-06,KWT,,,,
2021-01-06,LIE,5,5,,
2021-01-06,LTU,13889,13889,,
2021-01-06,LUX,1351,1351,,
2021-01-06,LVA,4741,4732,7,3
2021-01-06,MCO,,,,
2021-01-06,MEX,53185,53185,,
2021-01-06,NOR,15162,15150,12,
2021-01-06,OMN,14005,14005,,
2021-01-06,POL,160359,160359,,
2021-01-06,PRT,,,,
2021-01-06,QAT,,,,
2021-01-06,ROU,58554,58554,,
2021-01-06,RUS,,,,
2021-01-06,SAU,137862,,,
2021-01-06,SGP,1013,931,92,
2021-01-06,SVK,,,,
2021-01-06,SVN,21631,21630,2,
2021-01-06,SWE,,,,
2021-01-06,USA,8801611,8268139,371487,
2021-01-07,ARE,887697,,,
2021-01-07,ARG,96838,96800,21,17
2021-01-07,BEL,15264,15262,,
2021-01-07,BGR,11117,11117,,
2021-01-07,BHR,72239,72239,,
2021-01-07,BLR,,,,
2021-01-07,CAN,222125,220700,1425,
2021-01-07,CHE,30288,29751,,10
2021-01-07,CHL,,,,
2021-01-07,CHN,,,,
2021-01-07,CRI,,,,
2021-01-07,CYM,,,,
2021-01-07,CYP,,,,
2021-01-07,CZE,36328,36323,5,
2021-01-07,DEU,520032,520032,,
2021-01-07,DNK,,,,
2021-01-07,ESP,207323,207323,,
2021-01-07,EST,7931,7928,257,1
2021-01-07,FIN,,,,
2021-01-07,FRA,56596,56529,67,
2021-01-07,GRC,26445,26445,,
2021-01-07,HRV,20603,20603,,
2021-01-07,HUN,,,,
2021-01-07,ISL,,,,
2021-01-07,ISR,1782165,1782143,22,
2021-01-07,ITA,434801,434801,15,
2021-01-07,KWT,,,,
2021-01-07,LIE,6,6,,
2021-01-07,LTU,18084,18084,,
2021-01-07,LUX,1496,1496,,
2021-01-07,LVA,5556,5546,8,4
2021-01-07,MCO,,,,
2021-01-07,MEX,58402,58402,,
2021-01-07,NOR,21787,21773,14,
2021-01-07,OMN,14911,14911,,
2021-01-07,POL,188956,188956,,
2021-01-07,PRT,,,,
2021-01-07,QAT,,,,
2021-01-07,ROU,76400,76400,,
2021-01-07,RUS,,,,
2021-01-07,SAU,,,,
2021-01-07,SGP,1133,1036,109,
2021-01-07,SVK,,,,
2021-01-07,SVN,27107,27106,2,
2021-01-07,SWE,,,,
2021-01-07,USA,9979326,9138645,655638,
2021-01-08,ARE,941556,,,
2021-01-08,ARG,124732,124686,28,18
2021-01-08,AUT,31790,31772,3,
2021-01-08,BEL,24632,24630,,
2021-01-08,BGR,13355,13355,,
2021-01-08,BHR,78291,78291,,
2021-01-08,BLR,,,,
2021-01-08,CAN,264017,261319,2698,
2021-01-08,CHE,38342,37629,,12
2021-01-08,CHL,10704,10704,,
2021-01-08,CHN,,,,
2021-01-08,CRI,9751,9751,,
2021-01-08,CYM,,,,
2021-01-08,CYP,,,,
2021-01-08,CZE,46367,46361,6,
2021-01-08,DEU,582938,582938,,
2021-01-08,DNK,91917,91913,6,
2021-01-08,ESP,277976,277976,,
2021-01-08,EST,10145,10142,318,1
2021-01-08,FIN,,,,
2021-01-08,FRA,93802,93699,103,
2021-01-08,GRC,35272,35272,,
2021-01-08,HRV,24985,24985,,
2021-01-08,HUN,,,,
2021-01-08,ISL,,,,
2021-01-08,ISR,1848636,1848609,27,
2021-01-08,ITA,531842,531842,15,
2021-01-08,KWT,,,,
2021-01-08,LIE,,,,
2021-01-08,LTU,23301,23301,,
2021-01-08,LUX,1706,1706,,
2021-01-08,LVA,6477,6463,12,4
2021-01-08,MCO,,,,
2021-01-08,MEX,67468,67468,,
2021-01-08,NLD,34675,34675,,
2021-01-08,NOR,23459,23435,24,
2021-01-08,OMN,14980,14980,,
2021-01-08,POL,198787,198787,,
2021-01-08,PRT,86088,85686,212,47
2021-01-08,QAT,,,,
2021-01-08,ROU,92706,92706,,
2021-01-08,RUS,,,,
2021-01-08,SAU,,,,
2021-01-08,SGP,1975,1848,133,
2021-01-08,SRB,7000,7000,,
2021-01-08,SVK,,,,
2021-01-08,SVN,30372,30370,3,
2021-01-08,SWE,,,,
2021-01-08,USA,11224067,9989310,1023633,
2021-01-09,ARE,1020349,,,
2021-01-09,ARG,134943,134894,30,19
2021-01-09,AUT,,,,
2021-01-09,BEL,27909,27906,3,
2021-01-09,BGR,13473,13473,,
2021-01-09,BHR,84157,84157,,
2021-01-09,BLR,,,,
2021-01-09,CAN,300249,296308,3941,
2021-01-09,CHE,40491,39772,,12
2021-01-09,CHL,,,,
2021-01-09,CHN,9000000,,,
2021-01-09,CRI,,,,
2021-01-09,CYM,,,,
2021-01-09,CYP,,,,
2021-01-09,CZE,48398,48390,8,
2021-01-09,DEU,643542,643542,,
2021-01-09,DNK,,,,
2021-01-09,ESP,,,,
2021-01-09,EST,10696,10693,332,1
2021-01-09,FIN,,,,
2021-01-09,FRA,105032,104920,112,
2021-01-09,GRC,40427,40427,,
2021-01-09,HRV,30000,30000,,
2021-01-09,HUN,,,,
2021-01-09,ISL,,,,
2021-01-09,ISR,1893215,1893164,51,
2021-01-09,ITA,620158,620158,15,
2021-01-09,KWT,,,,
2021-01-09,LIE,,,,
2021-01-09,LTU,23605,23605,,
2021-01-09,LUX,,,,
2021-01-09,LVA,6788,6774,12,4
2021-01-09,MCO,,,,
2021-01-09,MEX,74794,74794,,
2021-01-09,NLD,,,,
2021-01-09,NOR,23633,23607,26,
2021-01-09,OMN,15023,15023,,
2021-01-09,POL,200022,200022,,
2021-01-09,PRT,,,,
2021-01-09,QAT,,,,
2021-01-09,ROU,102301,102301,,
2021-01-09,RUS,,,,
2021-01-09,SAU,178338,,,
2021-01-09,SGP,2433,2301,139,
2021-01-09,SRB,,,,
2021-01-09,SVK,,,,
2021-01-09,SVN,30626,30624,3,
2021-01-09,SWE,,,,
2021-01-09,SYC,0,0,,
2021-01-09,USA,11736696,10361380,1153675,
2021-01-10,ALB,0,0,,
2021-01-10,ARE,1086568,836568,250000,
2021-01-10,ARG,136122,136068,30,24
2021-01-10,AUT,,,,
2021-01-10,BEL,28400,28396,4,
2021-01-10,BGR,,,,
2021-01-10,BHR,89250,89250,,
2021-01-10,BLR,,,,
2021-01-10,BMU,0,0,,
2021-01-10,CAN,323781,319819,3962,
2021-01-10,CHE,40525,39805,,12
2021-01-10,CHL,10705,10705,,
2021-01-10,CHN,,,,
2021-01-10,CRI,,,,
2021-01-10,CYM,,,,
2021-01-10,CYP,6035,6035,,
2021-01-10,CZE,50174,50164,10,
2021-01-10,DEU,679400,679400,,
2021-01-10,DNK,,,,
2021-01-10,ESP,,,,
2021-01-10,EST,10919,10916,334,1
2021-01-10,FIN,,,,
2021-01-10,FRA,111057,110937,120,
2021-01-10,GBR,2677971,2286572,391399,
2021-01-10,GIB,420,420,,
2021-01-10,GRC,44645,44645,,
2021-01-10,HRV,,,,
2021-01-10,HUN,,,,
2021-01-10,ISL,,,,
2021-01-10,ISR,1936866,1930813,6053,
2021-01-10,ITA,681117,681117,15,
2021-01-10,KWT,,,,
2021-01-10,LIE,,,,
2021-01-10,LTU,23607,23607,,
2021-01-10,LUX,,,,
2021-01-10,LVA,7126,7110,13,5
2021-01-10,MCO,,,,
2021-01-10,MEX,81300,81300,,
2021-01-10,NLD,,,,
2021-01-10,NOR,23780,23748,32,
2021-01-10,OMN,15907,15907,,
2021-01-10,POL,203053,203053,,
2021-01-10,PRT,,,,
2021-01-10,QAT,,,,
2021-01-10,ROU,108294,108294,,
2021-01-10,RUS,,,,
2021-01-10,SAU,,,,
2021-01-10,SGP,2629,2491,145,
2021-01-10,SRB,9300,9300,,
2021-01-10,SVK,63481,63479,,2
2021-01-10,SVN,30627,30625,3,
2021-01-10,SWE,,,,
2021-01-10,SYC,,,,
2021-01-10,TCA,0,0,,
2021-01-10,USA,11989784,10538948,1223570,
2021-01-11,ALB,,,,
2021-01-11,ARE,1167251,,,
2021-01-11,ARG,155953,155892,35,26
2021-01-11,AUT,,,,
2021-01-11,BEL,34130,34126,,
2021-01-11,BGR,14161,14161,,
2021-01-11,BHR,92598,92598,,
2021-01-11,BLR,,,,
2021-01-11,BMU,,,,
2021-01-11,CAN,362166,358193,3973,
2021-01-11,CHE,47872,47037,,13
2021-01-11,CHL,10706,10706,,
2021-01-11,CHN,,,,
2021-01-11,CRI,,,,
2021-01-11,CYM,,,,
2021-01-11,CYP,,,,
2021-01-11,CZE,60030,60018,12,
2021-01-11,DEU,748203,748203,,
2021-01-11,DNK,,,,
2021-01-11,ESP,406091,406091,,
2021-01-11,EST,11768,11765,376,1
2021-01-11,FIN,,,,
2021-01-11,FRA,151052,150893,159,
2021-01-11,GBR,2843815,2431648,412167,
2021-01-11,GIB,1445,1445,,
2021-01-11,GRC,50045,50045,,
